gene	pas	type	frac.c1	frac.c2
Dnase1l3	chr14:7975109:-	Intron	0.244	0.244
Dnase1l3	chr14:7967756:-	3' most exon	0.203	0.203
Fam107a	chr14:8296274:-	3' most exon	0.899	0.899
Fam107a	chr14:8297554:-	3' most exon	0.101	0.101
4930452B06Rik	chr14:8431192:-	3' most exon	0.799	0.799
4930452B06Rik	chr14:8650089:-	Intron	0.0686	0.0686
4930452B06Rik	chr14:8431398:-	3' most exon	0.133	0.133
Psmd6	chr14:14112187:-	3' most exon	0.755	0.755
Psmd6	chr14:14112565:-	Internal exon	0.245	0.245
Oxsm	chr14:16238652:-	3' most exon	0.913	0.913
Oxsm	chr14:16240667:-	3' most exon	0.087	0.087
Rarb	chr14:16430839:-	3' most exon	0.903	0.903
Rarb	chr14:16431543:-	3' most exon	0.0969	0.0969
Nr1d2	chr14:18204115:-	3' most exon	0.792	0.792
Nr1d2	chr14:18204714:-	3' most exon	0.208	0.208
Gng2	chr14:19872559:-	3' most exon	0.436	0.436
Gng2	chr14:19875378:-	3' most exon	0.0627	0.0627
Gng2	chr14:19875496:-	3' most exon	0.501	0.501
Ecd	chr14:20320256:-	3' most exon	0.428	0.428
Ecd	chr14:20343276:-	Internal exon	0.0858	0.0858
Ecd	chr14:20320671:-	3' most exon	0.107	0.107
Ecd	chr14:20320444:-	3' most exon	0.212	0.212
Ecd	chr14:20320138:-	3' most exon	0.167	0.167
Dnajc9	chr14:20384820:-	3' most exon	0.755	0.755
Dnajc9	chr14:20384982:-	3' most exon	0.245	0.245
Anxa7	chr14:20455278:-	3' most exon	0.455	0.455
Anxa7	chr14:20456168:-	3' most exon	0.545	0.545
Mss51	chr14:20482862:-	3' most exon	0.605	0.605
Mss51	chr14:20494691:-	Intron	0.395	0.395
Ppp3cb	chr14:20499859:-	3' most exon	0.0942	0.0942
Ppp3cb	chr14:20500647:-	3' most exon	0.133	0.133
Ppp3cb	chr14:20500029:-	3' most exon	0.772	0.772
Myoz1	chr14:20649107:-	3' most exon	0.886	0.886
Myoz1	chr14:20650604:-	Internal exon	0.114	0.114
Ap3m1	chr14:21034807:-	3' most exon	0.527	0.527
Ap3m1	chr14:21031453:-	3' most exon	0.119	0.119
Ap3m1	chr14:21035703:-	3' most exon	0.354	0.354
Kcnma1	chr14:23292291:-	3' most exon	0.708	0.708
Kcnma1	chr14:23306617:-	Intron	0.169	0.169
Kcnma1	chr14:23299732:-	3' most exon	0.124	0.124
Dlg5	chr14:24133979:-	3' most exon	0.938	0.938
Dlg5	chr14:24130912:-	3' most exon	0.0617	0.0617
Polr3a	chr14:24448694:-	3' most exon	0.923	0.923
Polr3a	chr14:24479722:-	Internal exon	0.0771	0.0771
Zmiz1os1	chr14:25451078:-	Single exon	0.571	0.571
Zmiz1os1	chr14:25456430:-	3' most exon	0.429	0.429
Pde12	chr14:26665019:-	3' most exon	0.907	0.907
Pde12	chr14:26664120:-	3' most exon	0.0928	0.0928
Appl1	chr14:26922837:-	3' most exon	0.323	0.323
Appl1	chr14:26918986:-	3' most exon	0.367	0.367
Appl1	chr14:26958469:-	Internal exon	0.159	0.159
Appl1	chr14:26917813:-	3' most exon	0.0538	0.0538
Appl1	chr14:26923727:-	3' most exon	0.0977	0.0977
Ccdc66	chr14:27482401:-	3' most exon	0.723	0.723
Ccdc66	chr14:27469036:-	3' most exon	0.189	0.189
Ccdc66	chr14:27481090:-	3' most exon	0.0878	0.0878
Cacna1d	chr14:30039941:-	3' most exon	0.502	0.502
Cacna1d	chr14:30041159:-	3' most exon	0.254	0.254
Cacna1d	chr14:30040315:-	3' most exon	0.152	0.152
Cacna1d	chr14:30041359:-	3' most exon	0.0918	0.0918
Prkcd	chr14:30595354:-	3' most exon	0.927	0.927
Prkcd	chr14:30595634:-	3' most exon	0.0727	0.0727
Gnl3	chr14:31012481:-	3' most exon	0.671	0.671
Gnl3	chr14:31013112:-	Intron	0.329	0.329
Smim4	chr14:31124505:-	Intron	0.374	0.374
Smim4	chr14:31088127:-	3' most exon	0.0792	0.0792
Smim4	chr14:31128641:-	5' most exon	0.547	0.547
Phf7	chr14:31237756:-	3' most exon	0.747	0.747
Phf7	chr14:31249608:-	Internal exon	0.131	0.131
Phf7	chr14:31250228:-	Intron	0.052	0.052
Phf7	chr14:31250877:-	5' most exon	0.0703	0.0703
Mettl6	chr14:31478792:-	Intron	0.292	0.292
Mettl6	chr14:31476820:-	Intron	0.152	0.152
Mettl6	chr14:31482815:-	Intron	0.119	0.119
Mettl6	chr14:31478997:-	Intron	0.437	0.437
Colq	chr14:31523092:-	3' most exon	0.799	0.799
Colq	chr14:31524189:-	3' most exon	0.201	0.201
Ankrd28	chr14:31698768:-	3' most exon	0.664	0.664
Ankrd28	chr14:31700015:-	3' most exon	0.336	0.336
Dph3	chr14:32082872:-	Intron	0.899	0.899
Dph3	chr14:32080566:-	3' most exon	0.101	0.101
Mapk8	chr14:33377898:-	3' most exon	0.359	0.359
Mapk8	chr14:33380795:-	3' most exon	0.482	0.482
Mapk8	chr14:33378618:-	3' most exon	0.159	0.159
Gprin2	chr14:34185688:-	3' most exon	0.551	0.551
Gprin2	chr14:34192781:-	3' most exon	0.292	0.292
Gprin2	chr14:34189053:-	3' most exon	0.157	0.157
Fam35a	chr14:34229686:-	3' most exon	0.0769	0.0769
Fam35a	chr14:34237033:-	3' most exon	0.326	0.326
Fam35a	chr14:34309120:-	Intron	0.135	0.135
Fam35a	chr14:34230619:-	3' most exon	0.462	0.462
Bmpr1a	chr14:34410763:-	3' most exon	0.101	0.101
Bmpr1a	chr14:34411099:-	3' most exon	0.816	0.816
Bmpr1a	chr14:34413192:-	3' most exon	0.0827	0.0827
Ldb3	chr14:34561265:-	Intron	0.634	0.634
Ldb3	chr14:34526643:-	3' most exon	0.366	0.366
Ccser2	chr14:36874936:-	3' most exon	0.846	0.846
Ccser2	chr14:36940993:-	Internal exon	0.154	0.154
Ghitm	chr14:37121944:-	3' most exon	0.244	0.244
Ghitm	chr14:37120817:-	3' most exon	0.756	0.756
Nrg3	chr14:38368952:-	3' most exon	0.255	0.255
Nrg3	chr14:38365102:-	3' most exon	0.202	0.202
Nrg3	chr14:38369102:-	3' most exon	0.395	0.395
Nrg3	chr14:38369211:-	3' most exon	0.148	0.148
Tspan14	chr14:40906447:-	3' most exon	0.772	0.772
Tspan14	chr14:40906576:-	3' most exon	0.228	0.228
Dydc2	chr14:41048957:-	3' most exon	0.306	0.306
Dydc2	chr14:41049117:-	3' most exon	0.694	0.694
Txndc16	chr14:45134642:-	3' most exon	0.0899	0.0899
Txndc16	chr14:45133412:-	3' most exon	0.124	0.124
Txndc16	chr14:45211115:-	Intron	0.0543	0.0543
Txndc16	chr14:45134932:-	3' most exon	0.638	0.638
Txndc16	chr14:45208129:-	Intron	0.0942	0.0942
Ero1l	chr14:45283185:-	3' most exon	0.718	0.718
Ero1l	chr14:45285866:-	3' most exon	0.138	0.138
Ero1l	chr14:45299045:-	Intron	0.144	0.144
Gnpnat1	chr14:45377105:-	3' most exon	0.0935	0.0935
Gnpnat1	chr14:45378058:-	3' most exon	0.243	0.243
Gnpnat1	chr14:45377451:-	3' most exon	0.461	0.461
Gnpnat1	chr14:45378302:-	3' most exon	0.203	0.203
Fermt2	chr14:45458830:-	3' most exon	0.883	0.883
Fermt2	chr14:45459752:-	3' most exon	0.117	0.117
Ddhd1	chr14:45593261:-	3' most exon	0.232	0.232
Ddhd1	chr14:45594723:-	3' most exon	0.674	0.674
Ddhd1	chr14:45588467:-	3' most exon	0.0941	0.0941
Gmfb	chr14:46808149:-	3' most exon	0.758	0.758
Gmfb	chr14:46811627:-	3' most exon	0.156	0.156
Gmfb	chr14:46809026:-	3' most exon	0.0866	0.0866
Gch1	chr14:47155627:-	3' most exon	0.839	0.839
Gch1	chr14:47153896:-	3' most exon	0.161	0.161
Atg14	chr14:47540893:-	3' most exon	0.692	0.692
Atg14	chr14:47565364:-	Intron	0.16	0.16
Atg14	chr14:47542463:-	3' most exon	0.0592	0.0592
Atg14	chr14:47541305:-	3' most exon	0.0892	0.0892
Otx2	chr14:48657677:-	3' most exon	0.82	0.82
Otx2	chr14:48657843:-	3' most exon	0.18	0.18
Exoc5	chr14:49012057:-	3' most exon	0.219	0.219
Exoc5	chr14:49013829:-	3' most exon	0.167	0.167
Exoc5	chr14:49006251:-	3' most exon	0.081	0.081
Exoc5	chr14:49012445:-	3' most exon	0.188	0.188
Exoc5	chr14:49011922:-	3' most exon	0.0773	0.0773
Exoc5	chr14:49012203:-	3' most exon	0.217	0.217
Exoc5	chr14:49013929:-	3' most exon	0.0503	0.0503
Slc35f4	chr14:49298519:-	3' most exon	0.943	0.943
Slc35f4	chr14:49312943:-	Intron	0.0571	0.0571
3632451O06Rik	chr14:49681664:-	3' most exon	0.588	0.588
3632451O06Rik	chr14:49679349:-	3' most exon	0.176	0.176
3632451O06Rik	chr14:49682138:-	3' most exon	0.133	0.133
3632451O06Rik	chr14:49682018:-	3' most exon	0.103	0.103
Hnrnpc	chr14:52074566:-	3' most exon	0.0789	0.0789
Hnrnpc	chr14:52074865:-	3' most exon	0.391	0.391
Hnrnpc	chr14:52074439:-	3' most exon	0.391	0.391
Hnrnpc	chr14:52073548:-	3' most exon	0.139	0.139
Supt16	chr14:52160439:-	3' most exon	0.618	0.618
Supt16	chr14:52181537:-	Internal exon	0.32	0.32
Supt16	chr14:52176949:-	Internal exon	0.0611	0.0611
Chd8	chr14:52198152:-	3' most exon	0.833	0.833
Chd8	chr14:52198466:-	3' most exon	0.167	0.167
Mettl3	chr14:52294824:-	3' most exon	0.585	0.585
Mettl3	chr14:52295824:-	Intron	0.335	0.335
Mettl3	chr14:52295999:-	Intron	0.0807	0.0807
Dad1	chr14:54235512:-	3' most exon	0.493	0.493
Dad1	chr14:54242717:-	3' most exon	0.507	0.507
Homez	chr14:54855579:-	3' most exon	0.666	0.666
Homez	chr14:54852736:-	3' most exon	0.109	0.109
Homez	chr14:54856606:-	3' most exon	0.163	0.163
Homez	chr14:54853787:-	3' most exon	0.0617	0.0617
Ppp1r3e	chr14:54873318:-	3' most exon	0.645	0.645
Ppp1r3e	chr14:54872669:-	3' most exon	0.23	0.23
Ppp1r3e	chr14:54875604:-	3' most exon	0.124	0.124
Zfhx2	chr14:55060295:-	3' most exon	0.291	0.291
Zfhx2	chr14:55061655:-	3' most exon	0.709	0.709
Ap1g2	chr14:55098850:-	3' most exon	0.772	0.772
Ap1g2	chr14:55106143:-	Intron	0.0984	0.0984
Ap1g2	chr14:55098979:-	3' most exon	0.13	0.13
Ipo4	chr14:55625633:-	3' most exon	0.0978	0.0978
Ipo4	chr14:55625740:-	3' most exon	0.902	0.902
Mdp1	chr14:55657889:-	3' most exon	0.687	0.687
Mdp1	chr14:55658873:-	3' most exon	0.313	0.313
Tinf2	chr14:55679139:-	3' most exon	0.869	0.869
Tinf2	chr14:55679346:-	3' most exon	0.131	0.131
Rabggta	chr14:55715877:-	3' most exon	0.776	0.776
Rabggta	chr14:55716311:-	3' most exon	0.224	0.224
Pspc1	chr14:56722441:-	3' most exon	0.712	0.712
Pspc1	chr14:56722795:-	3' most exon	0.288	0.288
Zmym5	chr14:56790600:-	3' most exon	0.404	0.404
Zmym5	chr14:56792957:-	3' most exon	0.422	0.422
Zmym5	chr14:56793630:-	3' most exon	0.0934	0.0934
Zmym5	chr14:56793057:-	3' most exon	0.0805	0.0805
Gjb2	chr14:57098640:-	3' most exon	0.821	0.821
Gjb2	chr14:57099579:-	3' most exon	0.179	0.179
Xpo4	chr14:57577564:-	3' most exon	0.583	0.583
Xpo4	chr14:57581728:-	3' most exon	0.155	0.155
Xpo4	chr14:57654851:-	Intron	0.18	0.18
Xpo4	chr14:57582220:-	3' most exon	0.0818	0.0818
Lats2	chr14:57689662:-	3' most exon	0.851	0.851
Lats2	chr14:57722189:-	Intron	0.0527	0.0527
Lats2	chr14:57689815:-	3' most exon	0.0959	0.0959
Ska3	chr14:57803676:-	3' most exon	0.438	0.438
Ska3	chr14:57806560:-	3' most exon	0.562	0.562
Zdhhc20	chr14:57832816:-	3' most exon	0.702	0.702
Zdhhc20	chr14:57836299:-	3' most exon	0.135	0.135
Zdhhc20	chr14:57836475:-	3' most exon	0.0539	0.0539
Zdhhc20	chr14:57832696:-	3' most exon	0.109	0.109
Micu2	chr14:57916288:-	3' most exon	0.764	0.764
Micu2	chr14:57923968:-	Internal exon	0.163	0.163
Micu2	chr14:57916905:-	3' most exon	0.0727	0.0727
Setdb2	chr14:59402009:-	3' most exon	0.634	0.634
Setdb2	chr14:59414072:-	Intron	0.366	0.366
Cdadc1	chr14:59564192:-	Intron	0.264	0.264
Cdadc1	chr14:59559386:-	3' most exon	0.171	0.171
Cdadc1	chr14:59586313:-	Internal exon	0.392	0.392
Cdadc1	chr14:59567757:-	Intron	0.0969	0.0969
Cdadc1	chr14:59585761:-	Intron	0.0766	0.0766
Atp8a2	chr14:59638540:-	3' most exon	0.506	0.506
Atp8a2	chr14:59640439:-	3' most exon	0.155	0.155
Atp8a2	chr14:59647531:-	3' most exon	0.339	0.339
Tnfrsf19	chr14:60963849:-	3' most exon	0.947	0.947
Tnfrsf19	chr14:60966349:-	3' most exon	0.0526	0.0526
Sgcg	chr14:61221057:-	3' most exon	0.744	0.744
Sgcg	chr14:61219114:-	3' most exon	0.256	0.256
Kpna3	chr14:61365207:-	3' most exon	0.762	0.762
Kpna3	chr14:61366449:-	3' most exon	0.106	0.106
Kpna3	chr14:61365546:-	3' most exon	0.132	0.132
Spryd7	chr14:61533879:-	3' most exon	0.397	0.397
Spryd7	chr14:61531842:-	3' most exon	0.0748	0.0748
Spryd7	chr14:61534847:-	3' most exon	0.189	0.189
Spryd7	chr14:61534303:-	3' most exon	0.34	0.34
Ints6	chr14:62691986:-	Intron	0.169	0.169
Ints6	chr14:62693046:-	Intron	0.234	0.234
Ints6	chr14:62690318:-	Intron	0.159	0.159
Ints6	chr14:62693565:-	3' most exon	0.18	0.18
Ints6	chr14:62693192:-	Intron	0.152	0.152
Ints6	chr14:62692898:-	Intron	0.107	0.107
Fdft1	chr14:63146381:-	3' most exon	0.845	0.845
Fdft1	chr14:63146528:-	3' most exon	0.155	0.155
Mtmr9	chr14:63519655:-	3' most exon	0.424	0.424
Mtmr9	chr14:63520589:-	3' most exon	0.211	0.211
Mtmr9	chr14:63521713:-	3' most exon	0.087	0.087
Mtmr9	chr14:63523610:-	3' most exon	0.278	0.278
Gm15918	chr14:63604477:-	Intron	0.47	0.47
Gm15918	chr14:63604709:-	Intron	0.53	0.53
Gm17116	chr14:64108647:-	Single exon	0.441	0.441
Gm17116	chr14:64111199:-	Single exon	0.559	0.559
Fzd3	chr14:65192441:-	3' most exon	0.89	0.89
Fzd3	chr14:65235249:-	Internal exon	0.11	0.11
Scara3	chr14:65919427:-	3' most exon	0.934	0.934
Scara3	chr14:65920568:-	3' most exon	0.0663	0.0663
1700001G11Rik	chr14:66295333:-	3' most exon	0.749	0.749
1700001G11Rik	chr14:66296180:-	Intron	0.125	0.125
1700001G11Rik	chr14:66296571:-	Intron	0.126	0.126
Bnip3l	chr14:66985299:-	3' most exon	0.289	0.289
Bnip3l	chr14:66987204:-	3' most exon	0.594	0.594
Bnip3l	chr14:66985185:-	3' most exon	0.117	0.117
Ppp2r2a	chr14:67015701:-	Intron	0.742	0.742
Ppp2r2a	chr14:67014670:-	3' most exon	0.107	0.107
Ppp2r2a	chr14:67015964:-	Intron	0.0804	0.0804
Ppp2r2a	chr14:67015574:-	Intron	0.0706	0.0706
Dock5	chr14:67752082:-	3' most exon	0.545	0.545
Dock5	chr14:67755499:-	3' most exon	0.195	0.195
Dock5	chr14:67756002:-	3' most exon	0.0877	0.0877
Dock5	chr14:67755619:-	3' most exon	0.173	0.173
Slc25a37	chr14:69241848:-	3' most exon	0.782	0.782
Slc25a37	chr14:69244238:-	3' most exon	0.194	0.194
Slc25a37	chr14:69244127:-	3' most exon	0.0238	0.0238
Rhobtb2	chr14:69784990:-	3' most exon	0.553	0.553
Rhobtb2	chr14:69787139:-	3' most exon	0.447	0.447
Sorbs3	chr14:70180468:-	3' most exon	0.901	0.901
Sorbs3	chr14:70183552:-	Intron	0.0987	0.0987
Polr3d	chr14:70438796:-	3' most exon	0.947	0.947
Polr3d	chr14:70442951:-	Internal exon	0.0526	0.0526
Dmtn	chr14:70603678:-	3' most exon	0.818	0.818
Dmtn	chr14:70603780:-	3' most exon	0.182	0.182
Xpo7	chr14:70664583:-	3' most exon	0.867	0.867
Xpo7	chr14:70660834:-	3' most exon	0.0595	0.0595
Xpo7	chr14:70662117:-	3' most exon	0.074	0.074
Fndc3a	chr14:72538001:-	3' most exon	0.692	0.692
Fndc3a	chr14:72584575:-	Internal exon	0.0692	0.0692
Fndc3a	chr14:72537865:-	3' most exon	0.239	0.239
Rb1	chr14:73195502:-	3' most exon	0.718	0.718
Rb1	chr14:73287633:-	Internal exon	0.206	0.206
Rb1	chr14:73196651:-	3' most exon	0.076	0.076
Itm2b	chr14:73362301:-	3' most exon	0.319	0.319
Itm2b	chr14:73362917:-	3' most exon	0.376	0.376
Itm2b	chr14:73362411:-	3' most exon	0.305	0.305
Lrch1	chr14:74754675:-	3' most exon	0.419	0.419
Lrch1	chr14:74908109:-	Intron	0.235	0.235
Lrch1	chr14:74756165:-	3' most exon	0.163	0.163
Lrch1	chr14:74763393:-	Intron	0.182	0.182
Slc25a30	chr14:75760156:-	3' most exon	0.604	0.604
Slc25a30	chr14:75760969:-	3' most exon	0.282	0.282
Slc25a30	chr14:75761882:-	3' most exon	0.114	0.114
Gm4285	chr14:75842922:-	3' most exon	0.17	0.17
Gm4285	chr14:75843988:-	Intron	0.0896	0.0896
Gm4285	chr14:75843762:-	3' most exon	0.682	0.682
Gm4285	chr14:75844327:-	Intron	0.0582	0.0582
Gtf2f2	chr14:75896931:-	3' most exon	0.677	0.677
Gtf2f2	chr14:75895677:-	3' most exon	0.117	0.117
Gtf2f2	chr14:75897403:-	3' most exon	0.207	0.207
Gpalpp1	chr14:76086235:-	3' most exon	0.736	0.736
Gpalpp1	chr14:76098464:-	Internal exon	0.133	0.133
Gpalpp1	chr14:76090568:-	3' most exon	0.131	0.131
Dnajc15	chr14:77826246:-	3' most exon	0.512	0.512
Dnajc15	chr14:77826435:-	3' most exon	0.488	0.488
Akap11	chr14:78492246:-	3' most exon	0.831	0.831
Akap11	chr14:78494885:-	3' most exon	0.169	0.169
Dgkh	chr14:78559353:-	3' most exon	0.679	0.679
Dgkh	chr14:78563637:-	3' most exon	0.058	0.058
Dgkh	chr14:78566713:-	3' most exon	0.0828	0.0828
Dgkh	chr14:78568448:-	3' most exon	0.0842	0.0842
Dgkh	chr14:78564390:-	3' most exon	0.0956	0.0956
Naa16	chr14:79334507:-	3' most exon	0.642	0.642
Naa16	chr14:79344895:-	Internal exon	0.0899	0.0899
Naa16	chr14:79325267:-	3' most exon	0.0534	0.0534
Naa16	chr14:79335632:-	3' most exon	0.215	0.215
Wbp4	chr14:79460933:-	3' most exon	0.733	0.733
Wbp4	chr14:79467315:-	Internal exon	0.0954	0.0954
Wbp4	chr14:79461650:-	3' most exon	0.0976	0.0976
Wbp4	chr14:79459933:-	3' most exon	0.0737	0.0737
Cnmd	chr14:79637686:-	3' most exon	0.928	0.928
Cnmd	chr14:79655266:-	Intron	0.0722	0.0722
Diaph3	chr14:86655363:-	3' most exon	0.753	0.753
Diaph3	chr14:86656170:-	3' most exon	0.117	0.117
Diaph3	chr14:86656579:-	3' most exon	0.0734	0.0734
Diaph3	chr14:86656032:-	3' most exon	0.0565	0.0565
Pcdh20	chr14:88465469:-	3' most exon	0.0597	0.0597
Pcdh20	chr14:88464743:-	3' most exon	0.0822	0.0822
Pcdh20	chr14:88466183:-	3' most exon	0.134	0.134
Pcdh20	chr14:88465622:-	3' most exon	0.667	0.667
Pcdh20	chr14:88466025:-	3' most exon	0.0573	0.0573
Pcdh9	chr14:93013703:-	3' most exon	0.509	0.509
Pcdh9	chr14:93861490:-	Intron	0.342	0.342
Pcdh9	chr14:93014046:-	3' most exon	0.149	0.149
Mzt1	chr14:99034407:-	3' most exon	0.626	0.626
Mzt1	chr14:99035470:-	3' most exon	0.206	0.206
Mzt1	chr14:99036021:-	3' most exon	0.104	0.104
Mzt1	chr14:99035719:-	3' most exon	0.0642	0.0642
Dis3	chr14:99075214:-	3' most exon	0.235	0.235
Dis3	chr14:99077158:-	3' most exon	0.262	0.262
Dis3	chr14:99074027:-	3' most exon	0.0672	0.0672
Dis3	chr14:99077346:-	3' most exon	0.309	0.309
Dis3	chr14:99072162:-	3' most exon	0.127	0.127
Klf12	chr14:99866181:-	3' most exon	0.898	0.898
Klf12	chr14:99870464:-	3' most exon	0.102	0.102
Commd6	chr14:101633818:-	3' most exon	0.644	0.644
Commd6	chr14:101634072:-	3' most exon	0.356	0.356
Gm9922	chr14:101728773:-	Single exon	0.253	0.253
Gm9922	chr14:101728987:-	Single exon	0.747	0.747
Mycbp2	chr14:103113411:-	3' most exon	0.936	0.936
Mycbp2	chr14:103113687:-	3' most exon	0.0639	0.0639
Ednrb	chr14:103814619:-	3' most exon	0.709	0.709
Ednrb	chr14:103814721:-	3' most exon	0.291	0.291
Gm17066	chr14:105106731:-	3' most exon	0.584	0.584
Gm17066	chr14:105109165:-	3' most exon	0.21	0.21
Gm17066	chr14:105114129:-	5' most exon	0.1	0.1
Gm17066	chr14:105114541:-	5' most exon	0.106	0.106
Rbm26	chr14:105106731:-	3' most exon	0.416	0.416
Rbm26	chr14:105114129:-	3' most exon	0.0709	0.0709
Rbm26	chr14:105109165:-	3' most exon	0.088	0.088
Rbm26	chr14:105128574:-	Internal exon	0.0838	0.0838
Rbm26	chr14:105114574:-	3' most exon	0.23	0.23
Rbm26	chr14:105109427:-	3' most exon	0.112	0.112
Abcc4	chr14:118482772:-	3' most exon	0.598	0.598
Abcc4	chr14:118483118:-	3' most exon	0.402	0.402
Dzip1	chr14:118876253:-	3' most exon	0.487	0.487
Dzip1	chr14:118916272:-	Intron	0.0702	0.0702
Dzip1	chr14:118876834:-	3' most exon	0.258	0.258
Dzip1	chr14:118876953:-	3' most exon	0.184	0.184
Uggt2	chr14:118986219:-	3' most exon	0.742	0.742
Uggt2	chr14:118998101:-	Internal exon	0.0703	0.0703
Uggt2	chr14:118986502:-	3' most exon	0.188	0.188
Stk24	chr14:121284187:-	3' most exon	0.848	0.848
Stk24	chr14:121286342:-	3' most exon	0.152	0.152
Dock9	chr14:121542114:-	3' most exon	0.358	0.358
Dock9	chr14:121540180:-	3' most exon	0.0709	0.0709
Dock9	chr14:121542224:-	3' most exon	0.571	0.571
Ggact	chr14:122890870:-	3' most exon	0.585	0.585
Ggact	chr14:122891325:-	3' most exon	0.415	0.415
Tmtc4	chr14:122919030:-	3' most exon	0.889	0.889
Tmtc4	chr14:122919815:-	3' most exon	0.111	0.111
Nalcn	chr14:123276634:-	3' most exon	0.892	0.892
Nalcn	chr14:123277441:-	3' most exon	0.108	0.108
Fgf14	chr14:123978351:-	3' most exon	0.613	0.613
Fgf14	chr14:123980113:-	3' most exon	0.116	0.116
Fgf14	chr14:123979679:-	3' most exon	0.0654	0.0654
Fgf14	chr14:123978649:-	3' most exon	0.206	0.206
Selenop	chr15:3280507:+	3' most exon	0.945	0.945
Selenop	chr15:3280079:+	3' most exon	0.0547	0.0547
Oxct1	chr15:4155304:+	3' most exon	0.761	0.761
Oxct1	chr15:4153951:+	3' most exon	0.239	0.239
Plcxd3	chr15:4581470:+	3' most exon	0.311	0.311
Plcxd3	chr15:4581293:+	3' most exon	0.689	0.689
Prkaa1	chr15:5181892:+	3' most exon	0.366	0.366
Prkaa1	chr15:5180495:+	3' most exon	0.13	0.13
Prkaa1	chr15:5181524:+	3' most exon	0.35	0.35
Prkaa1	chr15:5178901:+	3' most exon	0.153	0.153
Ttc33	chr15:5218322:+	3' most exon	0.834	0.834
Ttc33	chr15:5220274:+	3' most exon	0.0805	0.0805
Ttc33	chr15:5217416:+	3' most exon	0.0855	0.0855
Fyb	chr15:6654551:+	Intron	0.844	0.844
Fyb	chr15:6665608:+	3' most exon	0.156	0.156
Rictor	chr15:6800352:+	3' most exon	0.585	0.585
Rictor	chr15:6756825:+	Intron	0.174	0.174
Rictor	chr15:6800039:+	3' most exon	0.241	0.241
Lifr	chr15:7197484:+	3' most exon	0.893	0.893
Lifr	chr15:7185344:+	Intron	0.107	0.107
Nup155	chr15:8144200:+	Intron	0.0754	0.0754
Nup155	chr15:8158817:+	3' most exon	0.213	0.213
Nup155	chr15:8157895:+	3' most exon	0.0687	0.0687
Nup155	chr15:8159906:+	3' most exon	0.276	0.276
Nup155	chr15:8161249:+	3' most exon	0.12	0.12
Nup155	chr15:8160926:+	3' most exon	0.117	0.117
Nup155	chr15:8156825:+	Intron	0.0632	0.0632
Nup155	chr15:8159628:+	3' most exon	0.0671	0.0671
2410089E03Rik	chr15:8271158:+	3' most exon	0.869	0.869
2410089E03Rik	chr15:8170325:+	5' most exon	0.131	0.131
Ranbp3l	chr15:9068720:+	3' most exon	0.0879	0.0879
Ranbp3l	chr15:9066562:+	3' most exon	0.461	0.461
Ranbp3l	chr15:9065535:+	3' most exon	0.129	0.129
Ranbp3l	chr15:9067335:+	3' most exon	0.202	0.202
Ranbp3l	chr15:9065664:+	3' most exon	0.0648	0.0648
Ranbp3l	chr15:9068887:+	3' most exon	0.0559	0.0559
Nadk2	chr15:9110488:+	3' most exon	0.0912	0.0912
Nadk2	chr15:9109191:+	3' most exon	0.0578	0.0578
Nadk2	chr15:9110167:+	3' most exon	0.736	0.736
Nadk2	chr15:9108764:+	3' most exon	0.115	0.115
Rad1	chr15:10493677:+	Intron	0.617	0.617
Rad1	chr15:10490428:+	Internal exon	0.119	0.119
Rad1	chr15:10493309:+	Intron	0.201	0.201
Rad1	chr15:10493509:+	Intron	0.0633	0.0633
Adamts12	chr15:11349193:+	3' most exon	0.335	0.335
Adamts12	chr15:11065471:+	Intron	0.419	0.419
Adamts12	chr15:11346363:+	3' most exon	0.246	0.246
Zfr	chr15:12185444:+	3' most exon	0.732	0.732
Zfr	chr15:12181795:+	Intron	0.268	0.268
Mtmr12	chr15:12272238:+	3' most exon	0.251	0.251
Mtmr12	chr15:12274506:+	3' most exon	0.0945	0.0945
Mtmr12	chr15:12271995:+	3' most exon	0.51	0.51
Mtmr12	chr15:12272117:+	3' most exon	0.145	0.145
Golph3	chr15:12351500:+	3' most exon	0.259	0.259
Golph3	chr15:12343313:+	Intron	0.1	0.1
Golph3	chr15:12351267:+	3' most exon	0.641	0.641
Cdh9	chr15:16857089:+	3' most exon	0.786	0.786
Cdh9	chr15:16856517:+	3' most exon	0.214	0.214
Cdh10	chr15:19014236:+	3' most exon	0.867	0.867
Cdh10	chr15:19016310:+	3' most exon	0.133	0.133
Cdh12	chr15:21591879:+	3' most exon	0.254	0.254
Cdh12	chr15:21587230:+	3' most exon	0.303	0.303
Cdh12	chr15:21598582:+	3' most exon	0.134	0.134
Cdh12	chr15:21589533:+	3' most exon	0.18	0.18
Cdh12	chr15:21596999:+	3' most exon	0.0587	0.0587
Cdh12	chr15:21591730:+	3' most exon	0.0707	0.0707
Cdh18	chr15:23476312:+	3' most exon	0.328	0.328
Cdh18	chr15:23474729:+	3' most exon	0.672	0.672
Ank	chr15:27594849:+	3' most exon	0.306	0.306
Ank	chr15:27594428:+	3' most exon	0.662	0.662
Ank	chr15:27594544:+	3' most exon	0.0318	0.0318
Ctnnd2	chr15:31029332:+	3' most exon	0.584	0.584
Ctnnd2	chr15:31028628:+	3' most exon	0.209	0.209
Ctnnd2	chr15:31028245:+	3' most exon	0.207	0.207
