Gene_Symbol	Ensemble_ID	Peak_ID	Chromosome	Peak_Start	Peak_End	Strand
Kif21a	ENSMUSG00000022629.17	ENSMUSG00000022629.17_1_1	15	90933304	90933656	-
Yaf2	ENSMUSG00000022634.9	ENSMUSG00000022634.9_1_1	15	93284884	93285206	-
Yaf2	ENSMUSG00000022634.9	ENSMUSG00000022634.9_1_2	15	93284319	93284632	-
Alcam	ENSMUSG00000022636.13	ENSMUSG00000022636.13_4_2	16	52250258	52250469	-
Cblb	ENSMUSG00000022637.11	ENSMUSG00000022637.11_1_2	16	52207632	52208028	+
Bbx	ENSMUSG00000022641.15	ENSMUSG00000022641.15_1_2	16	50191858	50192290	-
Nectin3	ENSMUSG00000022656.15	ENSMUSG00000022656.15_1_2	16	46447776	46447912	-
Nectin3	ENSMUSG00000022656.15	ENSMUSG00000022656.15_1_3	16	46447239	46447475	-
Nectin3	ENSMUSG00000022656.15	ENSMUSG00000022656.15_2_1	16	46436168	46436412	-
Nectin3	ENSMUSG00000022656.15	ENSMUSG00000022656.15_4_3	16;16	46387709;46388026	46388025;46388201	-;-
Tagln3	ENSMUSG00000022658.10	ENSMUSG00000022658.10_1_1	16	45711239	45711621	-
Cd200	ENSMUSG00000022661.14	ENSMUSG00000022661.14_1_1	16	45382143	45382477	-
Atg3	ENSMUSG00000022663.3	ENSMUSG00000022663.3_1_1	16	45187645	45187889	+
Slc35a5	ENSMUSG00000022664.11	ENSMUSG00000022664.11_2_1	16	45140829	45141196	-
Slc35a5	ENSMUSG00000022664.11	ENSMUSG00000022664.11_2_2	16	45139690	45139927	-
Ccdc80	ENSMUSG00000022665.15	ENSMUSG00000022665.15_1_1	16	45127287	45127811	+
Gtpbp8	ENSMUSG00000022668.10	ENSMUSG00000022668.10_1_1	16;16	44738974;44739169	44739168;44739343	-;-
Gtpbp8	ENSMUSG00000022668.10	ENSMUSG00000022668.10_1_2	16	44736806	44737136	-
Mzt2	ENSMUSG00000022671.13	ENSMUSG00000022671.13_1_1	16	15848450	15848706	-
Prkdc	ENSMUSG00000022672.8	ENSMUSG00000022672.8_1_1	16	15841831	15842231	+
Mcm4	ENSMUSG00000022673.5	ENSMUSG00000022673.5_1_1	16	15624123	15624485	-
Ube2v2	ENSMUSG00000022674.15	ENSMUSG00000022674.15_1_1	16	15555691	15556070	-
Nde1	ENSMUSG00000022678.16	ENSMUSG00000022678.16_2_1	16	14192505	14192903	+
Mpv17l	ENSMUSG00000022679.13	ENSMUSG00000022679.13_2_4	16	13948219	13948540	+
Pdxdc1	ENSMUSG00000022680.14	ENSMUSG00000022680.14_2_1	16	13834159	13834519	-
Pdxdc1	ENSMUSG00000022680.14	ENSMUSG00000022680.14_2_2	16	13833668	13833845	-
Ntan1	ENSMUSG00000022681.15	ENSMUSG00000022681.15_1_1	16	13835137	13835338	+
Rrn3	ENSMUSG00000022682.8	ENSMUSG00000022682.8_1_1	16	13814449	13814828	+
Bfar	ENSMUSG00000022684.15	ENSMUSG00000022684.15_1_2	16	13703234	13703586	+
Parn	ENSMUSG00000022685.9	ENSMUSG00000022685.9_1_1	16	13537971	13538340	-
Boc	ENSMUSG00000022687.12	ENSMUSG00000022687.12_1_1	16	44485083	44485439	-
Sidt1	ENSMUSG00000022696.17	ENSMUSG00000022696.17_2_1	16	44240195	44240559	-
Naa50	ENSMUSG00000022698.17	ENSMUSG00000022698.17_1_1	16	44160397	44160573	+
Naa50	ENSMUSG00000022698.17	ENSMUSG00000022698.17_1_2	16	44160911	44161172	+
Naa50	ENSMUSG00000022698.17	ENSMUSG00000022698.17_1_3	16	44162142	44162426	+
Naa50	ENSMUSG00000022698.17	ENSMUSG00000022698.17_1_4	16	44163044	44163306	+
Ccdc191	ENSMUSG00000022701.18	ENSMUSG00000022701.18_1_1	16	43963319	43963683	+
Hira	ENSMUSG00000022702.16	ENSMUSG00000022702.16_1_1	16	18927619	18927999	+
Hira	ENSMUSG00000022702.16	ENSMUSG00000022702.16_2_1	16	18969793	18970275	+
Qtrtd1	ENSMUSG00000022704.15	ENSMUSG00000022704.15_2_1	16	43861416	43861751	-
Mrpl40	ENSMUSG00000022706.16	ENSMUSG00000022706.16_1_1	16	18872060	18872581	-
Gbe1	ENSMUSG00000022707.16	ENSMUSG00000022707.16_2_1	16	70569315	70569700	+
Usp7	ENSMUSG00000022710.17	ENSMUSG00000022710.17_1_1	16;16	8689623;8689970	8689969;8690244	-;-
Pmm2	ENSMUSG00000022711.16	ENSMUSG00000022711.16_1_1	16	8657153	8657528	+
Dgcr8	ENSMUSG00000022718.12	ENSMUSG00000022718.12_1_1	16	18254979	18255269	-
Dgcr8	ENSMUSG00000022718.12	ENSMUSG00000022718.12_1_2	16;16	18253986;18254318	18254317;18254552	-;-
Trmt2a	ENSMUSG00000022721.19	ENSMUSG00000022721.19_2_1	16	18253128	18253494	+
Arl6	ENSMUSG00000022722.18	ENSMUSG00000022722.18_1_1	16	59613343	59613719	-
Crybg3	ENSMUSG00000022723.16	ENSMUSG00000022723.16_1_1	16	59492107	59492434	-
Riox2	ENSMUSG00000022724.15	ENSMUSG00000022724.15_3_1	16;16	59491835;59492180	59492179;59492475	+;+
Cpox	ENSMUSG00000022742.6	ENSMUSG00000022742.6_1_2	16	58680072	58680382	+
Cldnd1	ENSMUSG00000022744.12	ENSMUSG00000022744.12_1_1	16	58733340	58733613	+
Cldnd1	ENSMUSG00000022744.12	ENSMUSG00000022744.12_1_2	16	58733860	58734222	+
St3gal6	ENSMUSG00000022747.17	ENSMUSG00000022747.17_1_1	16	58470576	58470703	-
St3gal6	ENSMUSG00000022747.17	ENSMUSG00000022747.17_1_2	16	58469795	58470064	-
Cmss1	ENSMUSG00000022748.8	ENSMUSG00000022748.8_2_1	16	57302020	57302258	-
Tbc1d23	ENSMUSG00000022749.8	ENSMUSG00000022749.8_1_1	16	57168881	57169258	-
Klhl22	ENSMUSG00000022750.18	ENSMUSG00000022750.18_1_1	16	17792997	17793365	+
Nit2	ENSMUSG00000022751.9	ENSMUSG00000022751.9_1_1	16;16	57156722;57156954	57156953;57157142	-;-
Tomm70a	ENSMUSG00000022752.9	ENSMUSG00000022752.9_1_1	16	57152742	57152972	+
Tomm70a	ENSMUSG00000022752.9	ENSMUSG00000022752.9_1_2	16	57154153	57154522	+
Tomm70a	ENSMUSG00000022752.9	ENSMUSG00000022752.9_1_3	16	57156432	57156607	+
Slc7a4	ENSMUSG00000022756.17	ENSMUSG00000022756.17_1_1	16	17572977	17573348	-
Slc7a4	ENSMUSG00000022756.17	ENSMUSG00000022756.17_1_2	16	17572630	17572793	-
Tfg	ENSMUSG00000022757.19	ENSMUSG00000022757.19_2_1	16	56690346	56690730	-
Thap7	ENSMUSG00000022760.17	ENSMUSG00000022760.17_1_1	16	17528075	17528464	-
Lztr1	ENSMUSG00000022761.12	ENSMUSG00000022761.12_1_1	16	17525936	17526327	+
Ncam2	ENSMUSG00000022762.18	ENSMUSG00000022762.18_2_1	16	81623975	81624204	+
Aifm3	ENSMUSG00000022763.18	ENSMUSG00000022763.18_1_1	16	17507139	17507460	+
Snap29	ENSMUSG00000022765.10	ENSMUSG00000022765.10_1_2	16	17428974	17429262	+
Serpind1	ENSMUSG00000022766.14	ENSMUSG00000022766.14_1_1	16	17343190	17343558	+
Sdf2l1	ENSMUSG00000022769.9	ENSMUSG00000022769.9_1_1	16	17130151	17130672	-
Dlg1	ENSMUSG00000022770.17	ENSMUSG00000022770.17_1_1	16	31872966	31873338	+
Ppil2	ENSMUSG00000022771.17	ENSMUSG00000022771.17_2_1	16	17088712	17088841	-
Ppil2	ENSMUSG00000022771.17	ENSMUSG00000022771.17_2_2	16	17088118	17088206	-
Ppil2	ENSMUSG00000022771.17	ENSMUSG00000022771.17_3_1	16	17086645	17087045	-
Senp5	ENSMUSG00000022772.12	ENSMUSG00000022772.12_2_2	16	31959690	31960045	-
Ypel1	ENSMUSG00000022773.18	ENSMUSG00000022773.18_2_1	16	17084570	17084799	+
Ypel1	ENSMUSG00000022773.18	ENSMUSG00000022773.18_2_2	16	17086008	17086303	+
Ncbp2	ENSMUSG00000022774.13	ENSMUSG00000022774.13_1_1	16	31956967	31957089	+
Ncbp2	ENSMUSG00000022774.13	ENSMUSG00000022774.13_1_2	16;16	31957817;31958148	31958147;31958409	+;+
Top3b	ENSMUSG00000022779.16	ENSMUSG00000022779.16_1_1	16	16892593	16892971	+
Pak2	ENSMUSG00000022781.8	ENSMUSG00000022781.8_1_1	16	32018470	32018613	-
Pak2	ENSMUSG00000022781.8	ENSMUSG00000022781.8_1_2	16	32017891	32018248	-
Spag6	ENSMUSG00000022783.11	ENSMUSG00000022783.11_1_2	16	16753068	16753414	-
Wdr53	ENSMUSG00000022787.10	ENSMUSG00000022787.10_1_1	16	32256680	32257072	+
Fgd4	ENSMUSG00000022788.16	ENSMUSG00000022788.16_2_1	16	16422087	16422415	-
Dnm1l	ENSMUSG00000022789.15	ENSMUSG00000022789.15_2_1	16	16313488	16313663	-
Dnm1l	ENSMUSG00000022789.15	ENSMUSG00000022789.15_2_2	16	16312256	16312630	-
Igsf11	ENSMUSG00000022790.14	ENSMUSG00000022790.14_1_3	16	39026793	39027149	+
Tnk2	ENSMUSG00000022791.17	ENSMUSG00000022791.17_1_1	16	32683094	32683497	+
Yars2	ENSMUSG00000022792.16	ENSMUSG00000022792.16_1_1	16	16307271	16307472	+
Yars2	ENSMUSG00000022792.16	ENSMUSG00000022792.16_2_1	16	16309333	16309612	+
B4galt4	ENSMUSG00000022793.17	ENSMUSG00000022793.17_1_1	16	38768461	38768841	+
Tfrc	ENSMUSG00000022797.16	ENSMUSG00000022797.16_2_1	16	32632403	32632786	+
Arhgap31	ENSMUSG00000022799.4	ENSMUSG00000022799.4_1_1	16	38598357	38598721	-
Fyttd1	ENSMUSG00000022800.14	ENSMUSG00000022800.14_1_1	16;16	32906176;32906349	32906348;32906510	+;+
Fyttd1	ENSMUSG00000022800.14	ENSMUSG00000022800.14_1_2	16;16	32907672;32907817	32907816;32908016	+;+
Fyttd1	ENSMUSG00000022800.14	ENSMUSG00000022800.14_1_3	16	32908246	32908342	+
Fyttd1	ENSMUSG00000022800.14	ENSMUSG00000022800.14_1_4	16	32908581	32908846	+
Lrch3	ENSMUSG00000022801.13	ENSMUSG00000022801.13_1_1	16	33015222	33015627	+
Lmln	ENSMUSG00000022802.2	ENSMUSG00000022802.2_1_2	16	33127317	33127679	+
Osbpl11	ENSMUSG00000022807.9	ENSMUSG00000022807.9_1_1	16	33242891	33243293	+
Snx4	ENSMUSG00000022808.5	ENSMUSG00000022808.5_1_1	16	33299181	33299635	+
Zfp148	ENSMUSG00000022811.17	ENSMUSG00000022811.17_1_2	16	33498338	33498554	+
Zfp148	ENSMUSG00000022811.17	ENSMUSG00000022811.17_1_4	16	33503561	33503853	+
Gsk3b	ENSMUSG00000022812.14	ENSMUSG00000022812.14_1_2	16	38245163	38245405	+
Gsk3b	ENSMUSG00000022812.14	ENSMUSG00000022812.14_1_3	16	38245750	38246029	+
Umps	ENSMUSG00000022814.6	ENSMUSG00000022814.6_1_1	16	33956629	33956910	-
Umps	ENSMUSG00000022814.6	ENSMUSG00000022814.6_1_2	16	33954835	33955125	-
Fstl1	ENSMUSG00000022816.11	ENSMUSG00000022816.11_1_2	16	37836162	37836491	+
Itgb5	ENSMUSG00000022817.15	ENSMUSG00000022817.15_1_1	16	33948731	33949149	+
Ndufb4	ENSMUSG00000022820.4	ENSMUSG00000022820.4_1_1	16	37647608	37647706	-
Abcc5	ENSMUSG00000022822.16	ENSMUSG00000022822.16_1_1	16	20400773	20401067	-
Abcc5	ENSMUSG00000022822.16	ENSMUSG00000022822.16_2_1	16	20332329	20332483	-
Abcc5	ENSMUSG00000022822.16	ENSMUSG00000022822.16_2_2	16	20331307	20331683	-
Rabl3	ENSMUSG00000022827.14	ENSMUSG00000022827.14_1_3	16	37571990	37572384	+
Gtf2e1	ENSMUSG00000022828.10	ENSMUSG00000022828.10_1_1	16	37509810	37510190	-
Hcls1	ENSMUSG00000022831.14	ENSMUSG00000022831.14_1_1	16	36962866	36963176	+
Mylk	ENSMUSG00000022836.11	ENSMUSG00000022836.11_1_2	16	35002107	35002416	+
Iqcb1	ENSMUSG00000022837.14	ENSMUSG00000022837.14_1_1	16	36872306	36872715	+
Eaf2	ENSMUSG00000022838.14	ENSMUSG00000022838.14_1_1	16	36800540	36800795	-
Adcy5	ENSMUSG00000022840.9	ENSMUSG00000022840.9_1_1	16	35304033	35304381	+
Ap2m1	ENSMUSG00000022841.15	ENSMUSG00000022841.15_1_1	16	20543530	20543983	+
Ece2	ENSMUSG00000022842.18	ENSMUSG00000022842.18_1_1	16	20645540	20645905	+
Pdia5	ENSMUSG00000022844.8	ENSMUSG00000022844.8_1_1	16	35397345	35397513	-
Dirc2	ENSMUSG00000022848.8	ENSMUSG00000022848.8_1_1	16	35697408	35697723	-
Ehhadh	ENSMUSG00000022853.7	ENSMUSG00000022853.7_1_1	16	21761307	21761708	-
Senp2	ENSMUSG00000022855.9	ENSMUSG00000022855.9_1_1	16	22047347	22047464	+
Senp2	ENSMUSG00000022855.9	ENSMUSG00000022855.9_1_2	16	22047609	22047834	+
Senp2	ENSMUSG00000022855.9	ENSMUSG00000022855.9_1_3	16	22048880	22049225	+
Tmem41a	ENSMUSG00000022856.9	ENSMUSG00000022856.9_1_1	16	21934342	21934719	-
Tra2b	ENSMUSG00000022858.16	ENSMUSG00000022858.16_1_1	16	22246549	22246700	-
Tra2b	ENSMUSG00000022858.16	ENSMUSG00000022858.16_1_2	16	22245794	22246235	-
Btg3	ENSMUSG00000022863.15	ENSMUSG00000022863.15_1_1	16	78360101	78360199	-
D16Ertd472e	ENSMUSG00000022864.14	ENSMUSG00000022864.14_2_2	16	78540357	78540636	-
Cxadr	ENSMUSG00000022865.14	ENSMUSG00000022865.14_2_1	16	78340370	78340738	+
Samsn1	ENSMUSG00000022876.18	ENSMUSG00000022876.18_1_1	16	75858818	75859177	-
Rfc4	ENSMUSG00000022881.15	ENSMUSG00000022881.15_1_1	16	23113981	23114289	-
Robo1	ENSMUSG00000022883.11	ENSMUSG00000022883.11_1_2	16	73045767	73046099	+
Eif4a2	ENSMUSG00000022884.15	ENSMUSG00000022884.15_1_1	16	23113530	23113935	+
St6gal1	ENSMUSG00000022885.16	ENSMUSG00000022885.16_1_1	16	23359957	23360341	+
Masp1	ENSMUSG00000022887.9	ENSMUSG00000022887.9_2_2	16	23468395	23468751	-
Mrpl39	ENSMUSG00000022889.7	ENSMUSG00000022889.7_1_1	16	84718259	84718576	-
Atp5j	ENSMUSG00000022890.13	ENSMUSG00000022890.13_1_1	16	84827883	84827983	-
App	ENSMUSG00000022892.11	ENSMUSG00000022892.11_1_2	16	84954459	84954873	-
Adamts1	ENSMUSG00000022893.14	ENSMUSG00000022893.14_1_2	16;16	85793873;85794205	85794204;85794542	-;-
Adamts5	ENSMUSG00000022894.6	ENSMUSG00000022894.6_1_3	16	85859638	85859950	-
Adamts5	ENSMUSG00000022894.6	ENSMUSG00000022894.6_1_4	16	85856172	85856500	-
Ets2	ENSMUSG00000022895.15	ENSMUSG00000022895.15_1_1	16	95720642	95721035	+
Dyrk1a	ENSMUSG00000022897.15	ENSMUSG00000022897.15_1_1	16	94692315	94692452	+
Dyrk1a	ENSMUSG00000022897.15	ENSMUSG00000022897.15_1_2	16	94693939	94694184	+
Dyrk1a	ENSMUSG00000022897.15	ENSMUSG00000022897.15_1_3	16	94694524	94695004	+
Dscr3	ENSMUSG00000022898.13	ENSMUSG00000022898.13_1_1	16	94498540	94498774	-
Dscr3	ENSMUSG00000022898.13	ENSMUSG00000022898.13_1_2	16	94497796	94498158	-
Slc15a2	ENSMUSG00000022899.9	ENSMUSG00000022899.9_1_1	16	36771883	36772117	-
Slc15a2	ENSMUSG00000022899.9	ENSMUSG00000022899.9_2_1	16	36750184	36750565	-
Kpna1	ENSMUSG00000022905.12	ENSMUSG00000022905.12_1_1	16	36035715	36035949	+
Kpna1	ENSMUSG00000022905.12	ENSMUSG00000022905.12_1_2	16	36036752	36037097	+
Parp9	ENSMUSG00000022906.15	ENSMUSG00000022906.15_1_1	16	35972240	35972573	+
Arl13b	ENSMUSG00000022911.11	ENSMUSG00000022911.11_1_2	16	62793708	62794091	-
Pros1	ENSMUSG00000022912.8	ENSMUSG00000022912.8_1_2	16	62928919	62929321	+
Psmg1	ENSMUSG00000022913.15	ENSMUSG00000022913.15_1_1	16	95979956	95980105	-
Brwd1	ENSMUSG00000022914.16	ENSMUSG00000022914.16_1_2	16	96066690	96067104	-
Brwd1	ENSMUSG00000022914.16	ENSMUSG00000022914.16_2_1	16;16	95992156;95992454	95992453;95992863	-;-
Grik1	ENSMUSG00000022935.16	ENSMUSG00000022935.16_1_1	16	87912450	87912784	-
Pigp	ENSMUSG00000022940.17	ENSMUSG00000022940.17_1_1	16	94364478	94364774	-
Dopey2	ENSMUSG00000022946.10	ENSMUSG00000022946.10_1_1	16	93810195	93810578	+
Cbr3	ENSMUSG00000022947.8	ENSMUSG00000022947.8_1_1	16	93690569	93690987	+
Setd4	ENSMUSG00000022948.15	ENSMUSG00000022948.15_1_1	16	93583481	93583779	-
Rcan1	ENSMUSG00000022951.16	ENSMUSG00000022951.16_1_1	16	92391972	92392347	-
Atp5o	ENSMUSG00000022956.11	ENSMUSG00000022956.11_1_1	16	91925234	91925605	-
Itsn1	ENSMUSG00000022957.20	ENSMUSG00000022957.20_4_1	16	91870245	91870510	+
Itsn1	ENSMUSG00000022957.20	ENSMUSG00000022957.20_4_2	16	91871290	91871645	+
Itsn1	ENSMUSG00000022957.20	ENSMUSG00000022957.20_5_1	16	91911903	91912322	+
Itsn1	ENSMUSG00000022957.20	ENSMUSG00000022957.20_5_2	16	91920133	91920562	+
Donson	ENSMUSG00000022960.13	ENSMUSG00000022960.13_1_1	16	91679143	91679673	-
Son	ENSMUSG00000022961.18	ENSMUSG00000022961.18_1_2	16	91663696	91663969	+
Son	ENSMUSG00000022961.18	ENSMUSG00000022961.18_2_1	16	91665406	91665653	+
Son	ENSMUSG00000022961.18	ENSMUSG00000022961.18_3_1	16	91678711	91679178	+
Gart	ENSMUSG00000022962.15	ENSMUSG00000022962.15_1_1	16	91633429	91633787	-
Gart	ENSMUSG00000022962.15	ENSMUSG00000022962.15_2_1	16	91621409	91621883	-
Tmem50b	ENSMUSG00000022964.14	ENSMUSG00000022964.14_1_1	16	91574522	91574894	-
Ifngr2	ENSMUSG00000022965.8	ENSMUSG00000022965.8_1_1	16	91562919	91563138	+
Ifngr2	ENSMUSG00000022965.8	ENSMUSG00000022965.8_1_2	16	91563634	91563973	+
Il10rb	ENSMUSG00000022969.13	ENSMUSG00000022969.13_1_1	16	91425431	91425807	+
Ifnar2	ENSMUSG00000022971.18	ENSMUSG00000022971.18_1_1	16	91393781	91394029	+
Ifnar2	ENSMUSG00000022971.18	ENSMUSG00000022971.18_2_1	16	91405128	91405591	+
Synj1	ENSMUSG00000022973.18	ENSMUSG00000022973.18_2_1	16	90936109	90936490	-
Paxbp1	ENSMUSG00000022974.12	ENSMUSG00000022974.12_1_1	16	91014867	91015166	-
Paxbp1	ENSMUSG00000022974.12	ENSMUSG00000022974.12_1_2	16	91014070	91014427	-
Mis18a	ENSMUSG00000022978.11	ENSMUSG00000022978.11_1_1	16	90719342	90719733	-
Sod1	ENSMUSG00000022982.10	ENSMUSG00000022982.10_1_1	16	90226162	90226322	+
Scaf4	ENSMUSG00000022983.16	ENSMUSG00000022983.16_1_1	16	90229000	90229352	-
Zfp641	ENSMUSG00000022987.12	ENSMUSG00000022987.12_1_1	15	98285590	98286009	-
Kansl2	ENSMUSG00000022992.17	ENSMUSG00000022992.17_1_1	15;15	98518831;98519194	98519193;98519463	-;-
Kansl2	ENSMUSG00000022992.17	ENSMUSG00000022992.17_1_2	15	98517765	98517933	-
Adcy6	ENSMUSG00000022994.9	ENSMUSG00000022994.9_1_1	15	98589983	98590381	-
Enah	ENSMUSG00000022995.16	ENSMUSG00000022995.16_1_2	1	181902994	181903301	-
Enah	ENSMUSG00000022995.16	ENSMUSG00000022995.16_1_3	1	181902672	181902814	-
Enah	ENSMUSG00000022995.16	ENSMUSG00000022995.16_1_4	1	181896402	181896772	-
Lmbr1l	ENSMUSG00000022999.15	ENSMUSG00000022999.15_1_1	15;15	98903911;98904257	98904256;98904469	-;-
Dhh	ENSMUSG00000023000.5	ENSMUSG00000023000.5_2_1	15	98893083	98893402	-
Tuba1b	ENSMUSG00000023004.8	ENSMUSG00000023004.8_1_1	15	98931439	98931676	-
Prpf40b	ENSMUSG00000023007.15	ENSMUSG00000023007.15_1_1	15	99316640	99317007	+
Fmnl3	ENSMUSG00000023008.18	ENSMUSG00000023008.18_1_1	15	99317214	99317618	-
Nckap5l	ENSMUSG00000023009.14	ENSMUSG00000023009.14_1_1	15	99422056	99422409	-
Tmbim6	ENSMUSG00000023010.15	ENSMUSG00000023010.15_1_1	15	99409663	99410041	+
Faim2	ENSMUSG00000023011.8	ENSMUSG00000023011.8_1_1	15	99500133	99500273	-
Faim2	ENSMUSG00000023011.8	ENSMUSG00000023011.8_1_2	15	99498711	99499052	-
Faim2	ENSMUSG00000023011.8	ENSMUSG00000023011.8_1_3	15	99497069	99497301	-
Racgap1	ENSMUSG00000023015.14	ENSMUSG00000023015.14_1_1	15	99620528	99620875	-
Asic1	ENSMUSG00000023017.10	ENSMUSG00000023017.10_1_2	15	99700748	99701104	+
Smarcd1	ENSMUSG00000023018.5	ENSMUSG00000023018.5_1_1	15	99713647	99713980	+
Gpd1	ENSMUSG00000023019.12	ENSMUSG00000023019.12_1_1	15	99724801	99724882	+
Cers5	ENSMUSG00000023021.15	ENSMUSG00000023021.15_2_1	15	99735599	99735974	-
Lima1	ENSMUSG00000023022.14	ENSMUSG00000023022.14_1_1	15	99778489	99778843	-
Larp4	ENSMUSG00000023025.16	ENSMUSG00000023025.16_2_1	15	100014029	100014282	+
Larp4	ENSMUSG00000023025.16	ENSMUSG00000023025.16_2_3	15	100015984	100016335	+
Dip2b	ENSMUSG00000023026.16	ENSMUSG00000023026.16_1_1	15	100219098	100219473	+
Atf1	ENSMUSG00000023027.13	ENSMUSG00000023027.13_2_1	15	100260794	100261231	+
Slc11a2	ENSMUSG00000023030.16	ENSMUSG00000023030.16_2_2	15;15	100392704;100392974	100392973;100393175	-;-
Slc11a2	ENSMUSG00000023030.16	ENSMUSG00000023030.16_3_1	15	100388821	100389092	-
Slc11a2	ENSMUSG00000023030.16	ENSMUSG00000023030.16_3_2	15	100387963	100388221	-
Cela1	ENSMUSG00000023031.8	ENSMUSG00000023031.8_2_1	15	100674443	100674692	-
Slc4a8	ENSMUSG00000023032.12	ENSMUSG00000023032.12_2_3	15	100823585	100823961	+
Scn8a	ENSMUSG00000023033.14	ENSMUSG00000023033.14_3_2	15	101043552	101043725	+
Scn8a	ENSMUSG00000023033.14	ENSMUSG00000023033.14_3_3	15	101045555	101045902	+
Nr4a1	ENSMUSG00000023034.7	ENSMUSG00000023034.7_1_1	15	101274401	101274791	+
Csad	ENSMUSG00000023044.2	ENSMUSG00000023044.2_1_1	15;15	102177007;102177358	102177357;102177616	-;-
Igfbp6	ENSMUSG00000023046.6	ENSMUSG00000023046.6_1_1	15	102149205	102149493	+
Amhr2	ENSMUSG00000023047.11	ENSMUSG00000023047.11_1_1	15	102454237	102454627	+
Prr13	ENSMUSG00000023048.13	ENSMUSG00000023048.13_1_1	15	102462361	102462778	+
Tarbp2	ENSMUSG00000023051.11	ENSMUSG00000023051.11_1_1	15	102523264	102523657	+
Sncg	ENSMUSG00000023064.4	ENSMUSG00000023064.4_1_1	14	34370279	34370541	-
Rttn	ENSMUSG00000023066.9	ENSMUSG00000023066.9_1_1	18	89130681	89130958	+
Cdkn1a	ENSMUSG00000023067.13	ENSMUSG00000023067.13_1_2	17	29100351	29100701	+
Nus1	ENSMUSG00000023068.16	ENSMUSG00000023068.16_1_1	10	52437681	52437943	+
Nus1	ENSMUSG00000023068.16	ENSMUSG00000023068.16_1_2	10	52438837	52439184	+
Nus1	ENSMUSG00000023068.16	ENSMUSG00000023068.16_1_3	10	52439900	52440110	+
Cep89	ENSMUSG00000023072.14	ENSMUSG00000023072.14_1_1	7	35438354	35438672	+
Akirin1	ENSMUSG00000023075.9	ENSMUSG00000023075.9_1_1	4	123735301	123735747	-
Gtf2ird1	ENSMUSG00000023079.14	ENSMUSG00000023079.14_2_1	5	134357684	134357997	-
Noct	ENSMUSG00000023087.15	ENSMUSG00000023087.15_1_1	3	51251230	51251618	+
Abcc1	ENSMUSG00000023088.17	ENSMUSG00000023088.17_1_1	16	14474461	14474858	+
Ndufa5	ENSMUSG00000023089.12	ENSMUSG00000023089.12_1_1	6	24518674	24518821	-
Fhl1	ENSMUSG00000023092.16	ENSMUSG00000023092.16_1_1	X	56792954	56793332	+
Rfc2	ENSMUSG00000023104.9	ENSMUSG00000023104.9_1_1	5	134597940	134598318	+
Denr	ENSMUSG00000023106.15	ENSMUSG00000023106.15_1_1	5	123927025	123927571	+
Prmt5	ENSMUSG00000023110.12	ENSMUSG00000023110.12_1_1	14;14	54507210;54507536	54507535;54507749	-;-
Sympk	ENSMUSG00000023118.15	ENSMUSG00000023118.15_1_1	7	19054147	19054587	+
Gzma	ENSMUSG00000023132.8	ENSMUSG00000023132.8_1_1	13	113093846	113094025	-
Nagpa	ENSMUSG00000023143.10	ENSMUSG00000023143.10_1_1	16	5195303	5195673	-
Wrb	ENSMUSG00000023147.16	ENSMUSG00000023147.16_1_1	16	96156247	96156402	+
Wrb	ENSMUSG00000023147.16	ENSMUSG00000023147.16_1_2	16	96157459	96157827	+
Ivns1abp	ENSMUSG00000023150.14	ENSMUSG00000023150.14_1_2	1	151356447	151356778	+
Rpp14	ENSMUSG00000023156.4	ENSMUSG00000023156.4_1_1	14	8090216	8090701	+
Rpp14	ENSMUSG00000023156.4	ENSMUSG00000023156.4_1_2	14	8091106	8091346	+
Slc38a1	ENSMUSG00000023169.15	ENSMUSG00000023169.15_2_1	15	96576416	96576507	-
Slc38a1	ENSMUSG00000023169.15	ENSMUSG00000023169.15_2_2	15	96571946	96572147	-
Slc38a1	ENSMUSG00000023169.15	ENSMUSG00000023169.15_2_3	15	96571447	96571781	-
Gps2	ENSMUSG00000023170.14	ENSMUSG00000023170.14_1_1	11	69916066	69916540	+
Bsg	ENSMUSG00000023175.15	ENSMUSG00000023175.15_1_1	10	79711541	79711958	+
Vwa5a	ENSMUSG00000023186.14	ENSMUSG00000023186.14_1_1	9;9	38742244;38742651	38742650;38743039	+;+
P3h3	ENSMUSG00000023191.9	ENSMUSG00000023191.9_1_1	6	124841117	124841514	-
Serping1	ENSMUSG00000023224.12	ENSMUSG00000023224.12_1_1	2	84765373	84765754	-
Serinc2	ENSMUSG00000023232.17	ENSMUSG00000023232.17_1_1	4	130253528	130253887	-
Ccl25	ENSMUSG00000023235.14	ENSMUSG00000023235.14_2_1	8	4359590	4359991	+
Scg5	ENSMUSG00000023236.7	ENSMUSG00000023236.7_1_1	2	113776392	113776868	-
Kcnk5	ENSMUSG00000023243.9	ENSMUSG00000023243.9_1_1	14	20140107	20140411	-
Slc26a6	ENSMUSG00000023259.16	ENSMUSG00000023259.16_1_1	9	108912798	108913028	+
Acy1	ENSMUSG00000023262.13	ENSMUSG00000023262.13_1_1	9	106433018	106433395	-
Frs3	ENSMUSG00000023266.11	ENSMUSG00000023266.11_1_1	17	47703903	47704277	+
Creld2	ENSMUSG00000023272.4	ENSMUSG00000023272.4_1_1	15	88826415	88826660	+
Twf2	ENSMUSG00000023277.13	ENSMUSG00000023277.13_1_1	9	106214993	106215368	+
